,datetime
212261,2023-04-27 13:00:44
212262,2023-04-27 13:00:45
212263,2023-04-27 13:00:46
212264,2023-04-27 13:00:47
212265,2023-04-27 13:00:48
212266,2023-04-27 13:00:49
212267,2023-04-27 13:00:50
212268,2023-04-27 13:00:52
212269,2023-04-27 13:00:53
212270,2023-04-27 13:00:54
212271,2023-04-27 13:00:55
212272,2023-04-27 13:00:56
212273,2023-04-27 13:00:57
212274,2023-04-27 13:00:58
212275,2023-04-27 13:01:00
212276,2023-04-27 13:01:01
212277,2023-04-27 13:01:02
212278,2023-04-27 13:01:03
212279,2023-04-27 13:01:04
212280,2023-04-27 13:01:05
212281,2023-04-27 13:01:06
212282,2023-04-27 13:01:07
212283,2023-04-27 13:01:09
212284,2023-04-27 13:01:10
212285,2023-04-27 13:01:11
212286,2023-04-27 13:01:12
212287,2023-04-27 13:01:13
212288,2023-04-27 13:01:14
212289,2023-04-27 13:01:15
212290,2023-04-27 13:01:16
212291,2023-04-27 13:01:18
212292,2023-04-27 13:01:19
212293,2023-04-27 13:01:20
212294,2023-04-27 13:01:21
212295,2023-04-27 13:01:22
212296,2023-04-27 13:01:23
212297,2023-04-27 13:01:24
212298,2023-04-27 13:01:26
212299,2023-04-27 13:01:27
212300,2023-04-27 13:01:28
212301,2023-04-27 13:01:29
212302,2023-04-27 13:01:30
212303,2023-04-27 13:01:31
212304,2023-04-27 13:01:32
212305,2023-04-27 13:01:33
212306,2023-04-27 13:01:35
212307,2023-04-27 13:01:36
212308,2023-04-27 13:01:37
212309,2023-04-27 13:01:38
212310,2023-04-27 13:01:39
212311,2023-04-27 13:01:40
212312,2023-04-27 13:01:41
212313,2023-04-27 13:01:42
212314,2023-04-27 13:01:44
212315,2023-04-27 13:01:45
212316,2023-04-27 13:01:46
212317,2023-04-27 13:01:47
212318,2023-04-27 13:01:48
212319,2023-04-27 13:01:49
212320,2023-04-27 13:01:50
212321,2023-04-27 13:01:52
212322,2023-04-27 13:01:53
212323,2023-04-27 13:01:54
212324,2023-04-27 13:01:55
212325,2023-04-27 13:01:56
212326,2023-04-27 13:01:57
212327,2023-04-27 13:01:58
212328,2023-04-27 13:01:59
212329,2023-04-27 13:02:01
212330,2023-04-27 13:02:02
212331,2023-04-27 13:02:03
212332,2023-04-27 13:02:04
212333,2023-04-27 13:02:05
212334,2023-04-27 13:02:06
212335,2023-04-27 13:02:07
212336,2023-04-27 13:02:08
212337,2023-04-27 13:02:10
212338,2023-04-27 13:02:11
212339,2023-04-27 13:02:12
212340,2023-04-27 13:02:13
212341,2023-04-27 13:02:14
212342,2023-04-27 13:02:15
212343,2023-04-27 13:02:16
212344,2023-04-27 13:02:18
212345,2023-04-27 13:02:19
212346,2023-04-27 13:02:20
212347,2023-04-27 13:02:21
212348,2023-04-27 13:02:22
212349,2023-04-27 13:02:23
212350,2023-04-27 13:02:24
212351,2023-04-27 13:02:25
212352,2023-04-27 13:02:27
212353,2023-04-27 13:02:28
212354,2023-04-27 13:02:29
212355,2023-04-27 13:02:30
212356,2023-04-27 13:02:31
212357,2023-04-27 13:02:32
212358,2023-04-27 13:02:33
212359,2023-04-27 13:02:35
212360,2023-04-27 13:02:36
212361,2023-04-27 13:02:37
212362,2023-04-27 13:02:38
212363,2023-04-27 13:02:39
212364,2023-04-27 13:02:40
212365,2023-04-27 13:02:41
212366,2023-04-27 13:02:42
212367,2023-04-27 13:02:44
212368,2023-04-27 13:02:45
212369,2023-04-27 13:02:46
212370,2023-04-27 13:02:47
212371,2023-04-27 13:02:48
212372,2023-04-27 13:02:49
212373,2023-04-27 13:02:50
212374,2023-04-27 13:02:51
212375,2023-04-27 13:02:53
212376,2023-04-27 13:02:54
212377,2023-04-27 13:02:55
212378,2023-04-27 13:02:56
212379,2023-04-27 13:02:57
212380,2023-04-27 13:02:58
212381,2023-04-27 13:02:59
212382,2023-04-27 13:03:01
212383,2023-04-27 13:03:02
212384,2023-04-27 13:03:03
212385,2023-04-27 13:03:04
212386,2023-04-27 13:03:05
212387,2023-04-27 13:03:06
212388,2023-04-27 13:03:07
212389,2023-04-27 13:03:08
212390,2023-04-27 13:03:10
212391,2023-04-27 13:03:11
212392,2023-04-27 13:03:12
212393,2023-04-27 13:03:13
212394,2023-04-27 13:03:14
212395,2023-04-27 13:03:15
212396,2023-04-27 13:03:16
212397,2023-04-27 13:03:17
212398,2023-04-27 13:03:19
212399,2023-04-27 13:03:20
212400,2023-04-27 13:03:21
212401,2023-04-27 13:03:22
212402,2023-04-27 13:03:23
212403,2023-04-27 13:03:24
212404,2023-04-27 13:03:25
212405,2023-04-27 13:03:27
212406,2023-04-27 13:03:28
212407,2023-04-27 13:03:29
212408,2023-04-27 13:03:30
212409,2023-04-27 13:03:31
212410,2023-04-27 13:03:32
212411,2023-04-27 13:03:33
212412,2023-04-27 13:03:34
212413,2023-04-27 13:03:36
212414,2023-04-27 13:03:37
212415,2023-04-27 13:03:38
212416,2023-04-27 13:03:39
212417,2023-04-27 13:03:40
212418,2023-04-27 13:03:41
212419,2023-04-27 13:03:42
212420,2023-04-27 13:03:43
212421,2023-04-27 13:03:45
212422,2023-04-27 13:03:46
212423,2023-04-27 13:03:47
212424,2023-04-27 13:03:48
212425,2023-04-27 13:03:49
212426,2023-04-27 13:03:50
212427,2023-04-27 13:03:51
212428,2023-04-27 13:03:53
212429,2023-04-27 13:03:54
212430,2023-04-27 13:03:55
212431,2023-04-27 13:03:56
212432,2023-04-27 13:03:57
212433,2023-04-27 13:03:58
212434,2023-04-27 13:03:59
212435,2023-04-27 13:04:00
212436,2023-04-27 13:04:02
