datetime,Date,Amps
0,4/24/2023,0.8771599120326736
0,4/25/2023,1.0183129123468426
0,4/26/2023,1.104208542713568
0,4/27/2023,0.789359095193214
1,4/24/2023,0.5349246231155779
1,4/25/2023,0.9236946277097078
1,4/26/2023,1.100761523046092
1,4/27/2023,0.5404555450832548
2,4/24/2023,0.48042098649073206
2,4/25/2023,0.8943543826578699
2,4/27/2023,0.5244629396984924
3,4/24/2023,0.480502670436695
3,4/25/2023,0.8946151429469055
3,4/27/2023,0.5229437637448947
4,4/24/2023,0.4796199748743718
4,4/25/2023,0.8975502512562815
4,4/27/2023,0.514574300973924
5,4/24/2023,0.47827521206409046
5,4/25/2023,0.909927513394264
5,4/27/2023,0.5195193213949105
6,4/24/2023,0.47792399497487437
6,4/27/2023,0.5167923342758404
7,4/24/2023,0.4794533459000942
7,4/27/2023,0.525306314797361
8,4/24/2023,0.48069119840875185
8,4/27/2023,0.5165609296482412
9,4/25/2023,1.1097838270616494
9,4/26/2023,1.4356716417910447
9,4/27/2023,0.5288627081369778
10,4/25/2023,1.1086207979893183
10,4/26/2023,1.4840464970153944
10,4/27/2023,0.7984888469996859
11,4/25/2023,1.2510835427135678
11,4/26/2023,4.009528746465598
11,4/27/2023,0.9777599748664781
12,4/24/2023,1.3653253253253255
12,4/25/2023,1.208444863336475
12,4/26/2023,3.8855747487437187
12,4/27/2023,1.1689695256047754
13,4/24/2023,1.4113415017279296
13,4/25/2023,1.3299937185929647
13,4/26/2023,3.888444863336475
13,4/27/2023,1.2408269476372924
14,4/24/2023,1.4029783223374177
14,4/25/2023,1.4044423499842915
14,4/26/2023,1.8238014125467388
15,4/24/2023,1.3754836683417084
15,4/25/2023,1.3061168708765316
15,4/26/2023,0.2142105263157895
16,4/23/2023,0.2111818181818182
16,4/24/2023,1.429242852654728
16,4/25/2023,1.5665441407477223
16,4/26/2023,0.21597765363128493
17,4/24/2023,1.4338768457430096
17,4/25/2023,1.374412688442211
18,4/24/2023,1.6061174168297456
18,4/25/2023,1.3400754005655042
18,4/26/2023,0.20285714285714287
19,4/23/2023,1.4720684736091298
19,4/24/2023,1.4585155350978136
19,4/25/2023,1.327951617970468
19,4/26/2023,0.208125
20,4/23/2023,1.0629311969839774
20,4/24/2023,1.2571922110552765
20,4/25/2023,1.3239302544769085
20,4/26/2023,1.4229754049190162
21,4/23/2023,0.9147408105560791
21,4/24/2023,1.2595130380144517
21,4/25/2023,1.2324686998394863
21,4/26/2023,1.2284798994974875
22,4/23/2023,0.8775910804020101
22,4/24/2023,1.276852026390198
22,4/25/2023,1.1443090452261306
22,4/26/2023,1.200741438894125
23,4/23/2023,0.8800439836632108
23,4/24/2023,1.052650753768844
23,4/25/2023,1.1033836003770028
23,4/26/2023,1.1775714734527176
